NIVEL,Ags.,B.C.,B.C.S,Camp.,Coah.,Col.,Chis.,Chih.,C.D.Mx,Dgo.,Gto.,Gro.,Hgo.,Jal.,Edo. M̩x.,Mich.,Mor.,Nay.,N.L.,Oax.,Pue.,Qro.,Q. Roo.,S.L.P,Sin.,Son.,Tab.,Tamps.,Tlax.,Ver.,Yuc.,Zac.
0.0,2.359106760063707,3.0603098674271583,2.3180151586858972,1.831282759694146,2.05940056638247,2.3620565790079424,1.0413149807376112,2.240383855873582,3.2730316986132935,1.7281380714499956,1.891167266377967,1.6977435492206505,1.550949665023578,2.4647617970586353,2.071529412401674,1.7684596108892698,2.4159854986187494,1.9519316414407426,2.9548844569640167,1.3582148977283783,1.5182190953311396,1.7442625615925316,2.240094774308081,1.5211657793075437,2.0848669730925216,2.8204227593023683,1.5999263801548143,2.39866208247124,1.5438399933291447,1.6696419098950763,1.8410503112037007,1.822225860194172
1.0,3.7682682013283664,5.575671932471378,4.443129616702617,2.9675386720277737,4.533743055187436,4.558077639633474,1.6521186729707877,4.996707108435203,6.204009445460541,4.046730284204994,3.5067312197409546,2.527729361645461,3.20038464497269,0.0,0.0,3.0818745124332256,4.153897972931594,3.443029016277424,5.375970073298712,2.586243771316801,3.233205602576322,3.954183474580253,3.3469926406864534,3.1487550108658704,4.097509321800365,5.788299430764803,2.7547903569414647,4.650392627990726,3.0879000000000003,3.2199666336509276,3.608233420211619,3.583573885345424
2.0,4.467121284582129,5.650719416126908,4.949301063615525,3.7846183428650386,4.502926800043275,4.783676385204833,2.509247486852009,4.612109161514652,5.988085685127057,3.9573982772223255,4.14216962104377,3.578762512933991,3.677096927424045,4.767232629733101,4.775790401818914,3.566437690714315,4.469163716936615,4.144598455457087,5.560759259549171,3.1948096904377317,3.6025640550577007,4.011191922995996,4.423211287313866,3.790194679351797,4.068078989501717,5.452147086707138,3.417377389360934,4.725152520243507,3.6533329138686033,3.421191091486011,3.9401749841464717,4.053145781250384
3.0,5.059153678930387,6.078450152059878,5.344203295719483,4.3963972854408935,5.028470191890074,5.307916299687383,3.106164122523856,5.345091656128513,6.599246144346578,4.45009186238805,4.637855271259259,4.213491126474366,4.155858012244652,5.35433418165777,5.27992648108068,4.216088959172407,4.931578673803214,4.654873446004432,5.985410526068953,3.973517271896715,4.192008682087017,4.7759239502801725,4.998174818456434,4.340161391832554,4.634929808074087,6.098942937221129,3.951623436059223,5.229112570729967,4.108238587253369,4.241294622733578,4.506950160023388,4.592516184513601
4.0,6.67878787878788,6.934459864646918,6.225457007447529,5.867406420930058,6.061585484980531,4.8381540523720625,7.107617700922755,4.974738986503692,6.7763028045713565,6.507148231753198,6.022605921919423,4.729377981566393,6.646330680813439,7.582212735681253,5.332694304656922,6.462101258413813,6.436085746263678,5.783166403092602,6.096060203629925,4.683665701950435,5.028592147518907,6.57267266410551,6.053118472097881,6.327915479891129,5.534601599117729,6.696766612972375,6.941287878787879,5.1361992209237615,5.800474677151637,4.977022977022977,7.210910244211862,5.733100199703909
5.0,6.174868912344834,7.057021798090036,6.324005744549356,5.7509918915025775,5.9999752947372595,6.048638547363614,4.931222701691129,6.182208391208795,6.769225619347472,5.616192305534808,5.7738480392851,5.7746363961322285,4.984680113269811,6.251674939701813,6.8430400351791665,5.271714979220167,5.479590334187661,5.643112453391104,6.655579167363854,5.334845598066941,5.323617457962676,6.3401320431118355,6.061921624173749,5.074914508858056,5.626931214755679,7.162590822457026,5.376172916321766,5.623643664185225,4.876793525335294,5.756433776721607,5.741579900187961,5.7940382270034
6.0,6.436984599197064,7.373152685245266,6.660393934317812,5.943902916234116,6.50767703791984,6.608438292184765,4.642779178006167,6.7760898483627665,7.722663208696707,5.933866905313372,6.488582086882612,5.759461972365406,5.68971555980363,6.79911530084353,6.7665874186586965,5.779850449813488,6.449465133897473,6.148355356053399,7.478647418624882,5.532211607874672,5.743965316822947,6.675359240627634,6.287479948309893,6.2582240125717465,5.9365080667462315,7.497467279532454,5.263018336838475,6.524310195903028,5.533979126781571,5.592935768997213,6.046856943762452,6.308184136341075
7.0,7.388463117814693,7.711262098381355,7.019611851512413,6.3957192218364325,7.060410867049245,7.040139962845582,5.616122311013511,6.85666460375951,8.004916724331197,6.7716755147525625,7.0855178371985685,7.171126741585145,6.23982171982179,7.321734775358504,7.315335888511296,6.273968574405617,6.646384733401947,7.228181268928528,7.758518267828027,6.07084361377983,6.9393545492318705,7.249119772410713,6.602271443170916,7.221901763309631,6.904049999076229,7.914538811503336,5.986219610721846,6.660788719438933,6.654842647137497,6.865134606685253,6.717752901554793,7.517230369241906
8.0,7.936029571273295,8.749575708490545,8.326434771765319,7.4882016674062974,8.118022690581297,8.029472528363222,6.894682103608661,8.294563728826056,9.077548457219503,7.54670388276629,8.27749926681274,7.781925119016007,7.219263148752885,8.237617765190198,8.334109836598554,7.501143673564581,7.993432313806839,7.937826904089508,8.856767629221045,7.481041016485365,7.647036384601009,8.261723003485828,7.8089495527193264,8.187066535603593,7.4449678548941645,9.013042434881136,7.209044410507479,7.852521049991783,7.414459374018367,7.478623914794813,7.680487407678429,7.984405569734292
9.0,7.720155604181862,8.762991274805035,8.352553542009884,8.337815810920945,8.503412731578216,8.554659498207887,8.845228758169934,8.607965119370446,9.392792511700467,8.2290228562663,8.143658381134479,8.502874772121721,7.53572161792341,9.061119515885023,9.340493149672497,8.873452544704264,8.922226661339725,8.540910109840842,9.180176837939777,8.470896333629804,7.747335761500067,8.331610446137105,7.8906396548489965,8.145905321823895,8.411376015715689,9.208082950394722,7.237780713342142,10.0,8.18,8.27210644059814,7.960531554279018,8.920368364030338
10.0,8.389883454763236,9.074490790431424,9.008906431860737,7.945930316611247,8.866910425976918,8.575730994152046,8.230752710050076,8.929524846330725,9.513204429504665,7.9787590247985785,8.84131489733759,8.775930129053167,8.486716963877459,8.730697749688101,8.873038493067742,8.43014626045858,8.513939470048976,8.583992170317579,9.00801324164626,7.888771222658384,8.415070195596957,8.862163480132509,8.07297935110295,8.527598822419042,8.191429732794216,9.574926326806025,8.149188116003687,8.17689625951388,8.41730871930568,8.146686009346416,8.194727767841318,8.673811591057088
11.0,8.354920351347328,9.05551536198331,9.116214335421017,7.976408513381539,8.700544263023438,8.84361591951472,8.48329637841833,9.00676413746744,9.38136826783115,8.188477366255144,9.199716009939651,8.666666666666668,8.162356321839079,9.061397576782193,8.73608354597864,8.7643015755525,8.096704937925885,8.833021106531785,9.241236370190142,9.311124510099486,8.301204819277109,8.404245787672389,8.666666666666668,8.495191656508194,8.428321338261037,9.553827560983368,8.572432762836186,8.202077431539188,8.866666666666667,8.570797475616752,7.042948121543471,9.060460871549168
99.0,5.80073873255494,6.890129198665111,6.29298095732752,5.3771902213828575,4.779949923814009,6.202171188594965,5.502042751670631,6.804932623753475,7.677954767247108,5.06692607003891,5.6796504193707955,5.551898134924489,3.814768442783519,6.080225862410017,6.574120336174603,4.829908918005963,6.407835218163116,5.7487044098953755,8.190524120455445,5.953221809169764,4.991551827006951,6.607803575177671,6.13967012979169,5.13543729645924,5.595552639802353,7.21294663527032,5.527830641589198,6.128711798451868,4.527528583992964,4.763476858617825,5.252228533327936,4.649528886440343
