Grupo,Ags.,B.C.,B.C.S,Camp.,Coah.,Col.,Chis.,Chih.,C.D.Mx,Dgo.,Gto.,Gro.,Hgo.,Jal.,Edo. M̩x.,Mich.,Mor.,Nay.,N.L.,Oax.,Pue.,Qro.,Q. Roo.,S.L.P,Sin.,Son.,Tab.,Tamps.,Tlax.,Ver.,Yuc.,Zac.
11,0.0,39.76329959184479,58.70260937916708,44.40558402620919,29.092614126561386,60.258666197430934,21.088580833183368,32.638422818791945,68.0,43.26104643885343,45.39546875095685,37.636376652399186,41.477328762298356,36.25339853895399,38.49388404384255,21.769496973072673,50.1735655652002,27.143581938102486,45.11265118507804,35.20863510688646,34.706687990056594,39.743649824264025,56.35141089785423,30.587335420196,47.886262079288564,45.32905082372642,41.620803946049804,56.847330380809694,37.63742638365579,31.157021945555805,47.781053720913555,32.31457111701825
20,60.44866188560434,69.19510178358847,69.5653948395909,70.13782101950189,59.86856431584352,69.60699472467341,54.98055067369654,65.43289213383231,73.37384611086648,65.77438911678433,51.67989910987997,61.97053845042732,64.8476759355459,60.87532049260316,69.42855188939117,51.90147998334176,61.363587288752086,60.156333020973214,72.57785289636882,59.520275192286945,55.38519939174978,64.36552059788382,73.54635845088308,64.27405373747672,63.325347679667715,70.19348745178506,58.897191885936394,71.22670430904873,55.798563437465965,58.156706206346136,67.32147605549005,49.34172085478245
21,68.89128094725511,80.96425602660017,88.60116780908861,80.33737480231945,40.879912321903866,75.25951557093425,66.66666666666667,0.0,83.38858127002352,100.0,76.19264701938806,47.405151630503745,76.74242424242425,89.98171103434261,73.94997280093145,83.21882833534491,80.77025704883039,95.31761624099542,75.0,90.9900284900285,75.0,78.33382980836063,90.78783345799053,80.0,100.0,82.43145743145743,71.75815433571996,100.0,61.702127659574465,69.1437470615891,83.60430950048972,90.73131529600857
22,86.28956069910251,45.6815578465063,73.0907636945222,68.60676609676246,60.92258748674443,85.17462580185317,79.06738644825019,100.0,69.4125369215622,49.7737556561086,74.90323123527432,48.95034315704481,44.27308024158758,91.27818048812928,84.47915470311244,54.036519871106336,59.91062637279406,56.61656351311524,84.95412844036697,57.05512909979065,29.072489082969433,64.7965367965368,82.41326918207142,65.75449569976544,66.69156883671292,66.06248509420463,69.84233478698424,75.780636588754,60.633914421553094,69.55486221925834,67.13286713286713,49.7880158281515
23,52.375522614975296,39.878938935374755,85.24046434494196,60.187110187110186,41.357597564350954,67.28624535315986,26.245132199221153,0.0,100.0,50.0,62.419205909510616,56.853932584269664,68.63104469194981,83.64671206423417,100.0,46.80743765352768,37.31827622014538,34.766881028938904,0.0,65.07052709725316,0.0,83.57219634539591,75.71186440677967,48.76923076923077,64.3894487255483,50.0,64.70405146028946,66.6333998669328,14.742589703588143,73.37325995467789,54.42404006677796,39.471326164874554
30,75.74451907236092,84.9157706720835,77.4705497382199,100.0,73.0732764458892,78.2033426183844,0.0,61.858529819694866,89.3004072794762,0.0,85.43122617534942,0.0,0.0,77.53421822804269,59.98912255257433,89.1425310315309,68.83647085506918,87.99691238903898,86.14537669487206,90.88028169014085,0.0,47.405112316034085,87.06677937447168,77.27272727272727,79.68685376661743,76.18357925228568,61.42384105960265,82.62012619317262,100.0,54.22866092404072,83.22014714204867,90.4226618705036
31,58.256819693945445,84.02122235237374,78.66004962779157,100.0,26.07966457023061,80.70953436807095,65.04411317310617,77.82649545881615,72.80688230396842,79.89913544668588,80.79833391183617,50.64377682403433,0.0,24.610745276632407,46.652730331922704,71.3967971530249,81.80820715382927,54.85646873771137,58.689655172413794,0.0,25.0,88.21760524876981,83.81123058542413,100.0,67.17873363612075,75.05353319057816,0.0,70.33590228297223,100.0,78.66691491342394,84.28835489833641,100.0
32,59.44700460829493,80.9152027759705,0.0,73.42657342657343,100.0,100.0,0.0,62.74877957191138,79.19292895524335,0.0,82.28711222152822,0.0,67.58085381630013,73.27886348128838,87.99892003779868,80.0513698630137,89.78940650925335,100.0,74.23219942156727,100.0,91.3939899833055,89.0531660692951,87.35157459989675,62.5,57.90073567505958,86.51006711409396,80.0,79.45085118066996,0.0,80.10872595483691,84.67774625050669,50.0
33,71.9960559132301,79.37299874103255,79.60414297568921,81.3367442954599,70.94322696398821,81.29477289763078,77.05508889927765,74.96879205221894,80.42174053212867,79.30449533502969,69.97860206813499,76.09834068261712,79.15966754794701,72.47068867720412,78.31832653627947,69.89275069419088,74.42182315375253,79.21671364954855,77.7615615595207,78.77820437338818,75.43097275921703,78.75565425109762,82.82515883954684,78.08828569026943,77.30896260220123,81.4950988388152,74.84134840427573,78.95819878119744,68.27727482984207,78.50395145253488,80.99259650243773,73.8914033734519
34,68.28402366863905,84.9820143884892,78.68020304568527,88.97243107769424,78.92321810951361,86.49262202043133,0.0,75.0,100.0,100.0,58.488283525247546,0.0,0.0,61.3634274156477,0.0,54.53865336658354,72.62026612077788,77.32793522267207,75.0,100.0,0.0,78.29119442022667,83.13106796116504,33.22683706070288,82.18237848438157,88.01075268817205,100.0,58.547008547008545,46.29277566539924,50.0,67.43909685086156,75.92891760904685
40,77.88607320771064,90.83362645093212,92.68829026937878,56.7419575633128,80.35757429330756,95.01785714285714,0.0,50.0,94.22028644719965,100.0,96.02129719264279,0.0,0.0,82.8067150174976,87.7389249498968,76.79012345679013,0.0,88.03046789989119,79.0494307373442,0.0,100.0,90.04447485460143,100.0,66.66666666666667,94.34226094439066,100.0,100.0,81.17362887183859,50.0,0.0,90.42507513954487,0.0
41,90.14836795252225,100.0,68.53333333333333,100.0,100.0,89.68373493975903,100.0,100.0,65.91159667234639,100.0,100.0,0.0,0.0,88.31064530377866,0.0,83.8937093275488,100.0,0.0,100.0,0.0,67.46554823247453,100.0,100.0,100.0,41.12994350282486,84.66709346991037,100.0,79.80898993044742,75.0,0.0,70.21593447505585,0.0
42,87.84498233017334,82.52361091810367,84.38483535061057,82.89990231675175,84.27014940805459,84.64715258658165,88.06914060718466,86.01928346696438,87.41808498499702,86.51090024827398,83.59233617240291,100.0,85.5452653572228,87.18729246440572,87.20776875812466,82.58966970583175,82.95557431136346,88.94894333270993,87.70031785003577,82.17848622858382,84.61740226986129,85.92645898540798,91.84331000336752,89.52261338515524,82.2254644946703,89.51397485178188,85.44324951339874,80.44231933328034,77.03129158587126,86.5669576903883,86.91151809146636,85.19030338832862
43,100.0,100.0,100.0,100.0,100.0,75.0,75.0,0.0,93.73492938339649,0.0,86.51388591418576,0.0,0.0,76.82564603046633,84.62524769786688,0.0,100.0,100.0,93.7813694340839,0.0,82.16270843860535,100.0,100.0,93.24026451138869,100.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0
44,91.85483870967742,100.0,66.66666666666667,100.0,0.0,88.71473354231975,0.0,0.0,66.66666666666667,0.0,60.98465794768612,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,77.29549248747914,0.0,0.0,82.09069946195234,92.25667129415395,100.0,100.0,0.0,0.0,92.12046204620462,0.0
