,ESTRATO,DOMINIO,Grupo,ENT,acceso,uso,aptitudes,IDTMex,FAC_HOGAR
0,2,R,20,Ags.,0.526023324288436,0.4182869318021912,0.4631844115970171,4.703609847556543,10739686
1,2,R,20,B.C.,0.512853245407992,0.44715680575114497,0.43179041593641054,4.703621036509369,10739686
2,2,R,20,B.C.S,0.5451263907068062,0.4873072530032707,0.4929296156644478,5.115593806169204,10739686
3,2,R,20,Coah.,0.3336636273942775,0.2561828040360271,0.3887419385366639,3.1368696027945466,10739686
4,2,R,20,Col.,0.48666752710376876,0.4143252516019514,0.43502413028562087,4.474019375394122,10739686
5,2,R,20,Chis.,0.3423534578305695,0.23428025407457087,0.43081511232856456,3.1681650722776906,10739686
6,2,R,20,Chih.,0.45696489561421366,0.37528738915052146,0.4396750931973061,4.208359325453553,10739686
7,2,R,20,C.D.Mx,0.6333353952740318,0.6359944965052736,0.5491967391718025,6.175713045460826,10739686
8,2,R,20,Dgo.,0.43689411543788,0.3076466209074092,0.4348771086136238,3.847917162608404,10739686
9,2,R,20,Gto.,0.3858184451400569,0.29599554197304606,0.40074539114880064,3.5287467307500138,10739686
10,2,R,20,Hgo.,0.44761380628011294,0.3612976696427257,0.45494654502609716,4.14553899374355,10739686
11,2,R,20,Jal.,0.5017128190802109,0.3949724687005505,0.46121001326480354,4.509161177652653,10739686
12,2,R,20,Edo. Méx.,0.5126589537915689,0.45964453095276975,0.477187141221862,4.843588221421079,10739686
13,2,R,20,Mich.,0.4389993391765833,0.33510172486222584,0.4448539291586709,3.9861121144725784,10739686
14,2,R,20,Mor.,0.5714307756399377,0.4264229608056061,0.5226026679477239,5.036620281677624,10739686
15,2,R,20,Nay.,0.40816218575188123,0.2978733589447502,0.4359579975492838,3.6960581738850937,10739686
16,2,R,20,N.L.,0.7535813023198344,0.7338535916501657,0.5232211870751226,6.9961819500302465,10739686
17,2,R,20,Oax.,0.47128782042074197,0.3808813739425501,0.47480537257979666,4.358287522612762,10739686
18,2,R,20,Pue.,0.42659078357979996,0.3223783390698726,0.49840631293271104,3.992689116464112,10739686
19,2,R,20,Qro.,0.511516572628905,0.4802246189646519,0.4297987676692079,4.826562301712643,10739686
20,2,R,20,Q. Roo.,0.3522222222222222,0.29947160629011166,0.3982434361978029,3.4032621864449415,10739686
21,2,R,20,S.L.P,0.4228616696302375,0.3520793411989322,0.46395205138792367,4.027668146092527,10739686
22,2,R,20,Sin.,0.3975200761551417,0.2879475990363715,0.45311648231280205,3.648103665391657,10739686
23,2,R,20,Son.,0.49541374073350075,0.5066018589858111,0.4111942790661856,4.830450957009619,10739686
24,2,R,20,Tab.,0.3963354409932155,0.2892626076954871,0.4879529638742451,3.7182981225033007,10739686
25,2,R,20,Tamps.,0.47219244170463687,0.46814270276304654,0.47821853415614274,4.71777764618302,10739686
26,2,R,20,Tlax.,0.4529653128680521,0.34905999093649953,0.47232488986749166,4.15275099495319,10739686
27,2,R,20,Ver.,0.40110853231004767,0.303448299014586,0.44829139786911654,3.714810121036768,10739686
28,2,R,20,Yuc.,0.41895531614270576,0.37509882385443927,0.4251861558455879,4.026588871679756,10739686
29,2,R,20,Zac.,0.43027772251261553,0.31073807265639447,0.4092931708113357,3.7826495222987115,10739686
30,2,R,21,Ags.,1.0,0.4932443988370105,0.5061127640643149,6.985203123476672,25054
31,2,R,21,B.C.S,1.0,0.6666666666666666,0.7222222222222223,8.111111111111112,25054
32,2,R,21,Hgo.,0.8833718244803695,0.6236499068901303,0.41971349155441523,6.86751390859083,25054
33,2,R,21,Edo. Méx.,1.0,0.5833333333333334,0.8888888888888888,8.111111111111112,25054
34,2,R,21,Mor.,1.0,1.0,0.5,9.0,25054
35,2,R,21,Nay.,1.0,0.5,0.8333333333333334,7.666666666666668,25054
36,2,R,21,Qro.,0.75,0.5333333333333333,0.4166666666666667,5.966666666666668,25054
37,2,R,21,S.L.P,1.0,0.6666666666666666,0.8333333333333334,8.333333333333336,25054
38,2,R,22,Ags.,0.6395348837209303,0.6069651741293532,0.5212121212121211,6.0284244738253765,46226
39,2,R,22,B.C.,0.75,0.8888888888888888,0.5,7.555555555555556,46226
40,2,R,22,B.C.S,0.5,0.5260937153009105,0.4460020768431983,4.996379014890039,46226
41,2,R,22,Chih.,0.75,1.0,0.4166666666666667,7.833333333333334,46226
42,2,R,22,Dgo.,0.875,0.5416666666666666,0.611111111111111,6.888888888888889,46226
43,2,R,22,Gto.,0.75,1.0,0.2222222222222222,7.444444444444445,46226
44,2,R,22,Hgo.,0.6202380952380953,0.4983974358974359,0.27566137566137566,5.025864875864876,46226
45,2,R,22,Mich.,0.25,0.3333333333333333,0.7222222222222222,3.7777777777777777,46226
46,2,R,22,Mor.,0.5,0.8666666666666667,0.3333333333333333,6.133333333333333,46226
47,2,R,22,Nay.,0.6047945205479452,0.8458867521367521,0.3688184220460551,6.5403619348309,46226
48,2,R,22,Pue.,0.5,0.4666666666666666,0.3333333333333333,4.533333333333333,46226
49,2,R,22,Qro.,0.5,0.8333333333333334,0.5,6.333333333333334,46226
50,2,R,22,Son.,0.75,0.8333333333333334,0.4444444444444444,7.222222222222223,46226
51,2,R,22,Tab.,0.75,0.6666666666666666,0.6666666666666666,7.0,46226
52,2,R,22,Ver.,0.5,0.5,0.3333333333333333,4.666666666666667,46226
53,2,R,22,Zac.,0.6294291338582677,0.5072012186677745,0.49220420287387573,5.530929815851921,46226
54,2,R,23,Ags.,0.5,0.6666666666666666,0.3333333333333333,5.333333333333333,65829
55,2,R,23,B.C.S,0.6353626943005182,0.6666666666666666,0.607727016356458,6.423571476581655,65829
56,2,R,23,Coah.,0.25,0.0,0.3333333333333333,1.666666666666667,65829
57,2,R,23,Col.,1.0,0.6666666666666666,0.3333333333333333,7.333333333333334,65829
58,2,R,23,Dgo.,0.25,0.2222222222222222,0.5,2.8888888888888884,65829
59,2,R,23,Gto.,0.37654498419085947,0.5925074255054135,0.446239624912881,4.768688888610854,65829
60,2,R,23,Jal.,0.5,0.6666666666666666,0.5,5.666666666666666,65829
61,2,R,23,Mich.,0.6725967540574282,0.5524292385419985,0.589420439783298,6.078944849964304,65829
62,2,R,23,Mor.,0.5,0.0,0.16666666666666666,2.3333333333333335,65829
63,2,R,23,Nay.,0.4646067415730338,0.2997254466577926,0.41224454845765623,3.881817849838618,65829
64,2,R,23,Oax.,0.5,0.1111111111111111,0.8333333333333334,4.111111111111112,65829
65,2,R,23,Qro.,0.4349112426035503,0.5798816568047337,0.6259877085162423,5.311147014665622,65829
66,2,R,23,Sin.,0.3962053571428572,0.33335733486943164,0.7409078388599731,4.400066445769102,65829
67,2,R,23,Tab.,0.12363636363636364,0.05475040257648953,0.3991291727140784,1.5118054102795697,65829
68,2,R,23,Tlax.,0.1724299065420561,0.04914196567862714,0.45135712107349807,1.789001731029729,65829
69,2,R,23,Ver.,0.75,0.6,0.7222222222222222,6.844444444444445,65829
70,2,R,23,Yuc.,0.25,0.16666666666666666,0.5,2.666666666666667,65829
71,2,R,23,Zac.,0.33946608946608947,0.27945803433059807,0.5965282342245694,3.668752963635889,65829
72,2,U,20,Ags.,0.534370764166388,0.4150153447504499,0.463455470920741,4.724455377508834,52112246
73,2,U,20,B.C.,0.6448757130517818,0.6189311993611907,0.49214764202955724,6.039522933711004,52112246
74,2,U,20,B.C.S,0.5807804585366979,0.5400677530288088,0.532894325856102,5.5491814979742315,52112246
75,2,U,20,Camp.,0.6075114135584461,0.47788109839586324,0.5549560528944083,5.4514821536060545,52112246
76,2,U,20,Coah.,0.564683082401797,0.46394852275372034,0.47733444986772317,5.069195320357515,52112246
77,2,U,20,Col.,0.5687600773263323,0.49419518805143997,0.5077822344693564,5.267385530449803,52112246
78,2,U,20,Chis.,0.5189333697944027,0.3705039860463553,0.5576868327495235,4.67312308886208,52112246
79,2,U,20,Chih.,0.5891493289235857,0.5333336724799841,0.4643782396848737,5.4186884849840276,52112246
80,2,U,20,C.D.Mx,0.7077669794417728,0.6770086741098513,0.5722642735294036,6.683631161265304,52112246
81,2,U,20,Dgo.,0.5284991479286372,0.4355734153208986,0.49451503696667864,4.845320326931501,52112246
82,2,U,20,Gto.,0.5216059340605824,0.4216747576254012,0.44368992571706073,4.6605026181780564,52112246
83,2,U,20,Gro.,0.5781371350774325,0.48688467761704524,0.5468725028995696,5.35383225657705,52112246
84,2,U,20,Hgo.,0.5442209693158409,0.42217749583519354,0.5206844477057645,4.906962756015667,52112246
85,2,U,20,Jal.,0.5632675476829736,0.49292815132213175,0.46081150299523804,5.146405802010898,52112246
86,2,U,20,Edo. Méx.,0.6304943907654519,0.5481445037957321,0.5160324674792767,5.746620513203289,52112246
87,2,U,20,Mich.,0.5246624855988447,0.40387850435877387,0.46916753204250794,4.65249902391549,52112246
88,2,U,20,Mor.,0.6099048137156855,0.47286358889240127,0.5168805868269322,5.364834784086212,52112246
89,2,U,20,Nay.,0.5428536416584971,0.5148633164847807,0.5048312621289777,5.2405303568310675,52112246
90,2,U,20,N.L.,0.6428567826627185,0.5762846798814706,0.45954234563698115,5.795650541450719,52112246
91,2,U,20,Oax.,0.5634893278340267,0.4242233204108774,0.5262684324485181,5.003387457876654,52112246
92,2,U,20,Pue.,0.5342733682829148,0.4133474665342413,0.49621888281065774,4.78292110488994,52112246
93,2,U,20,Qro.,0.6515280990989113,0.5654638849361806,0.5125217421823601,5.893011420505088,52112246
94,2,U,20,Q. Roo.,0.598295316748146,0.5023440067458617,0.5438912491998215,5.490339792375673,52112246
95,2,U,20,S.L.P,0.5821362194346158,0.4812090849254109,0.5296999958129391,5.312781209065985,52112246
96,2,U,20,Sin.,0.5357038705831833,0.45405507295762915,0.5203631397154945,4.999762053594239,52112246
97,2,U,20,Son.,0.5889796895077755,0.6966923737774419,0.49224292573729866,6.127174104615467,52112246
98,2,U,20,Tab.,0.5533377846475225,0.42345446916284746,0.5801727976525561,5.067514610546593,52112246
99,2,U,20,Tamps.,0.6019991883827902,0.4855150593699429,0.524325488127108,5.398707967265148,52112246
100,2,U,20,Tlax.,0.5112272342044728,0.37275381312677225,0.5225931294540586,4.5811104482330975,52112246
101,2,U,20,Ver.,0.5482124425213917,0.41405536541604365,0.5168043154515435,4.882679862652828,52112246
102,2,U,20,Yuc.,0.5439964385652505,0.4276698475830261,0.491847481589387,4.87036010777188,52112246
103,2,U,20,Zac.,0.558067406545729,0.43990565146900157,0.48888179750508315,4.969655827069089,52112246
104,2,U,21,Ags.,0.9597332015810277,0.5928121797687015,0.5502453785566105,7.310672282512138,396617
105,2,U,21,B.C.,0.9327606635071091,0.7796439176584918,0.6026990380467828,8.055016400755969,396617
106,2,U,21,B.C.S,0.9431637519872814,0.7339692633810281,0.7361585612338936,8.180849183941026,396617
107,2,U,21,Camp.,0.9699727024567789,0.6404675534058847,0.8248904279166248,8.091541879283904,396617
108,2,U,21,Coah.,0.8362809499747347,0.5299299751524734,0.38391207081023243,6.232667842129297,396617
109,2,U,21,Col.,0.8920454545454546,0.7398818616253485,0.46007228587015825,7.447853836423529,396617
110,2,U,21,Chis.,0.8310904872389792,0.5555555555555555,0.6226831677415606,6.79195050666126,396617
111,2,U,21,C.D.Mx,0.907250967969025,0.7292124207727978,0.589067126253922,7.723987807475136,396617
112,2,U,21,Dgo.,1.0,0.6666666666666666,0.5,7.666666666666667,396617
113,2,U,21,Gto.,0.8889819857561794,0.6034548323921435,0.5968448715589423,7.163437015711176,396617
114,2,U,21,Gro.,0.9050599895670319,0.46492783863675885,0.5923617620802774,6.664674836975718,396617
115,2,U,21,Hgo.,0.8076036866359447,0.5840108401084011,0.37144308943089427,6.309344285839171,396617
116,2,U,21,Jal.,0.9046175673932672,0.8214551185349862,0.4846063373460634,7.87350341840514,396617
117,2,U,21,Edo. Méx.,0.9352808200491094,0.6825628212500047,0.5606083686322794,7.592591302461016,396617
118,2,U,21,Mich.,0.8810103963612735,0.610729427784483,0.6707991164560925,7.3085575294952125,396617
119,2,U,21,Mor.,0.8404088050314465,0.6355799600076503,0.5826581254782411,7.06927131111287,396617
120,2,U,21,Nay.,1.0,0.6666666666666666,0.6789434741071695,8.024553614881007,396617
121,2,U,21,N.L.,0.75,0.9166666666666666,0.3333333333333333,7.333333333333334,396617
122,2,U,21,Oax.,1.0,0.6666666666666666,0.9491048078857373,8.564876282438142,396617
123,2,U,21,Pue.,1.0,0.9166666666666666,0.4444444444444444,8.555555555555557,396617
124,2,U,21,Qro.,0.8979046836483155,0.7721763892843218,0.7315475768250814,8.143419445380713,396617
125,2,U,21,Q. Roo.,0.8734640831758034,0.6666666666666666,0.758104169960197,7.676731339290273,396617
126,2,U,21,Sin.,1.0,0.823449216087253,0.815968737905345,8.925734340159702,396617
127,2,U,21,Son.,0.8645717463848721,0.9414381914381914,0.5585618085618086,8.341163368415872,396617
128,2,U,21,Tab.,0.8870223978919631,0.5988226637233259,0.6128158754196903,7.1690119973005375,396617
129,2,U,21,Tamps.,0.833672283556072,0.7584737555684679,0.5114913176710929,7.391566791840346,396617
130,2,U,21,Tlax.,0.7392008639308856,0.681545476361891,0.6007286096755188,6.884442580522144,396617
131,2,U,21,Ver.,0.9455303505783197,0.6031442096230918,0.5897157614616079,7.374129763728861,396617
132,2,U,21,Yuc.,1.0,0.6120143650016324,0.6883237048712681,7.824704869749066,396617
133,2,U,21,Zac.,1.0,0.7381411972297612,0.6827342365989709,8.318033262116986,396617
134,2,U,22,Ags.,0.6336084905660377,0.6666666666666666,0.5945350934721915,6.3901708158752,379191
135,2,U,22,B.C.,0.5610323438192291,0.7887533370084904,0.4901356802346901,6.379414083780258,379191
136,2,U,22,B.C.S,0.7513661202185793,0.7509101488171055,0.5647558430144737,7.138616762171688,379191
137,2,U,22,Camp.,0.6313653136531365,0.5774757281553398,0.557502663353684,5.950369493941273,379191
138,2,U,22,Coah.,0.6347793380140421,0.5645786163522013,0.4732491879605774,5.743930193386129,379191
139,2,U,22,Col.,0.6068991660348749,0.6675393768831043,0.4690728309950008,6.03589983366192,379191
140,2,U,22,Chis.,0.6466836734693877,0.6177800100452034,0.7395050257591947,6.536864785576755,379191
141,2,U,22,C.D.Mx,0.5903077753779697,0.6959179596449481,0.7008619096409999,6.546626759373671,379191
142,2,U,22,Dgo.,0.5,0.0,0.3333333333333333,2.6666666666666665,379191
143,2,U,22,Gto.,0.6882002801120448,0.7286189864356758,0.5009325039784018,6.669142074147687,379191
144,2,U,22,Gro.,0.5729587712206952,0.7134319677827841,0.6454183846276593,6.436399725269236,379191
145,2,U,22,Hgo.,0.5,0.48129657767165906,0.3333333333333333,4.591852977353303,379191
146,2,U,22,Jal.,0.6340079869304774,0.7200650428444995,0.7077462380446292,6.831784595189166,379191
147,2,U,22,Edo. Méx.,0.6670202288052125,0.6149305156770414,0.5175511475174877,6.162905272963991,379191
148,2,U,22,Mich.,0.6324989438107309,0.6094248749208104,0.5370063867554975,6.04170804843716,379191
149,2,U,22,Mor.,0.6277049679975617,0.553558445768638,0.4748100605938343,5.674673776252468,379191
150,2,U,22,Nay.,0.638681592039801,0.7301783722958621,0.4886900323141934,6.452819921971039,379191
151,2,U,22,N.L.,0.5879265091863517,0.8223074816973056,0.5752043914804015,6.791344746495433,379191
152,2,U,22,Oax.,0.6888861508132085,0.5355182193523255,0.8606256442514667,6.618868769165069,379191
153,2,U,22,Pue.,0.7055840273329063,0.449524566809131,0.5070583763605981,5.6345511292893455,379191
154,2,U,22,Qro.,0.6387844611528822,0.6680884885520258,0.6058582808584393,6.439208360536512,379191
155,2,U,22,Q. Roo.,0.5655776515151515,0.6217377819132438,0.5773642741733941,5.90399028206037,379191
156,2,U,22,S.L.P,0.6017801857585139,0.8009669980497858,0.36872367994816974,6.348436095129538,379191
157,2,U,22,Sin.,0.6479811838494708,0.5840555288075749,0.5112202265581255,5.950587303744434,379191
158,2,U,22,Son.,0.75,0.9438271604938272,0.5932653965440852,7.96183943506348,379191
159,2,U,22,Tab.,0.6826283987915408,0.6617332495514853,0.5010656107128885,6.379577814797882,379191
160,2,U,22,Tamps.,0.7133555746879036,0.6488620646296995,0.6182441643484532,6.68535888596732,379191
161,2,U,22,Tlax.,0.4874661246612466,0.560099573257468,0.5503834586330153,5.291029708940888,379191
162,2,U,22,Ver.,0.6405866900175131,0.5989767580213786,0.4947773007894871,5.947808393734542,379191
163,2,U,22,Yuc.,0.6644021739130435,0.5732410611303345,0.4832435667265111,5.917060073626534,379191
164,2,U,22,Zac.,0.6081196581196582,0.5346062052505967,0.5495726495726495,5.670048752626319,379191
165,2,U,23,Ags.,0.5185104529616724,0.3433157642549114,0.4742088109405744,4.395722490747485,246942
166,2,U,23,B.C.,0.5825043885313049,0.4670433131276681,0.2863063520257126,4.770803510687317,246942
167,2,U,23,B.C.S,0.3506711409395973,0.3256157477280755,0.2504655493482309,3.206078653367154,246942
168,2,U,23,Camp.,0.4207657909446618,0.3661751310656649,0.5587690354957838,4.265301759032875,246942
169,2,U,23,Coah.,0.6468007312614259,0.3648594877402729,0.49215653413377664,5.030953944274348,246942
170,2,U,23,Col.,0.4291226645004062,0.5347715934396914,0.5297736956640704,4.915124423088532,246942
171,2,U,23,Chis.,0.37272021730694604,0.17826730429021867,0.4289609053497942,3.0618718970882473,246942
172,2,U,23,C.D.Mx,0.5,0.3333333333333333,0.6666666666666666,4.666666666666667,246942
173,2,U,23,Gto.,0.45929166666666665,0.29403258476442096,0.3229669016116401,3.6592308089476306,246942
174,2,U,23,Gro.,0.5,0.3521797752808989,0.5823451910408433,4.573409483205283,246942
175,2,U,23,Hgo.,0.48606741573033707,0.4502591855873937,0.631137142401785,5.0075806900744935,246942
176,2,U,23,Jal.,0.6104954367666232,0.5922347811407904,0.39575552274240716,5.602431917114469,246942
177,2,U,23,Edo. Méx.,0.5,0.3333333333333333,0.6666666666666666,4.666666666666667,246942
178,2,U,23,Mich.,0.41357778903931075,0.2948643513149124,0.46292997635294403,3.759628514122781,246942
179,2,U,23,Mor.,0.5084922526817641,0.24671126831621829,0.504352989301013,4.029520062593956,246942
180,2,U,23,Nay.,0.5,0.0,0.3333333333333333,2.6666666666666665,246942
181,2,U,23,Oax.,0.5743682310469314,0.532488698853243,0.6860215697425,5.799470859085698,246942
182,2,U,23,Qro.,0.46564885496183206,0.40803417012068416,0.671144428322599,4.837020956975263,246942
183,2,U,23,Q. Roo.,0.5631666666666667,0.42625099020220975,0.4247827055939381,4.807236038663382,246942
184,2,U,23,S.L.P,0.5832006369426752,0.37552495903148886,0.7054358974358973,5.2457741787684515,246942
185,2,U,23,Sin.,0.5994143892916899,0.4706018720727864,0.7236769443176359,5.727418934093177,246942
186,2,U,23,Son.,1.0,0.8333333333333334,0.5,8.333333333333334,246942
187,2,U,23,Tab.,0.5448071590622636,0.45279952445839217,0.658843442617481,5.308113619317584,246942
188,2,U,23,Tamps.,0.5959049544994945,0.4973388354175819,0.6622215384274198,5.697418236523147,246942
189,2,U,23,Ver.,0.5736980019652801,0.4301739529056922,0.627708310237774,5.270904439959438,246942
190,2,U,23,Yuc.,0.6955375966268447,0.4587347949509129,0.42060712200817285,5.458303810327376,246942
191,2,U,23,Zac.,0.36904761904761907,0.2845163222521713,0.2641509433962264,3.1425576519916145,246942
192,3,U,30,Ags.,0.9066008082622363,0.5689786512071672,0.7188855692371551,7.3400889763519235,460652
193,3,U,30,B.C.,0.9118729552889858,0.7238271426212304,0.7006642630326795,7.944128917706226,460652
194,3,U,30,B.C.S,0.8533145275035261,0.641861564124692,0.6936998126934514,7.368103991899774,460652
195,3,U,30,Camp.,0.7558479532163742,0.5867446393762182,0.9091915836101881,7.188753537590746,460652
196,3,U,30,Coah.,0.7713166385005378,0.6430757189462246,0.5720896962810235,6.801748822349097,460652
197,3,U,30,Col.,0.7767175572519085,0.7863522810922348,0.7601176917236142,7.772514736823801,460652
198,3,U,30,Chis.,0.75,0.3333333333333333,1.0,6.333333333333333,460652
199,3,U,30,Chih.,0.6968181818181818,0.5429627761666597,0.706195099398983,6.371514030737332,460652
200,3,U,30,C.D.Mx,0.9036226983492668,0.804110389235282,0.7363065405126749,8.303545431363546,460652
201,3,U,30,Gto.,0.8135680461190036,0.6951507074779301,0.7817412450158715,7.598357504419479,460652
202,3,U,30,Gro.,0.25,0.0,0.3333333333333333,1.666666666666667,460652
203,3,U,30,Jal.,0.8006709786616696,0.7146371269747878,0.5599214449870652,7.181075312519961,460652
204,3,U,30,Edo. Méx.,0.9222178960781537,0.555359233000082,0.694582253486363,7.299473023285669,460652
205,3,U,30,Mich.,0.8965583913379738,0.6304751034384363,0.8193222459104353,7.746778470926512,460652
206,3,U,30,Mor.,0.8267870439314966,0.5952139575474048,0.6526504239258223,6.993304853767251,460652
207,3,U,30,Nay.,0.9453028430160693,0.8409070505033392,0.8630852172114795,8.871010008500594,460652
208,3,U,30,N.L.,0.8124617425015304,0.7117016563328621,0.6419032029879297,7.380460001313429,460652
209,3,U,30,Oax.,0.9296959826275787,0.7542553001687287,0.47059555162460853,7.676996234434447,460652
210,3,U,30,Qro.,0.8193244304791831,0.4853278554027531,0.7492899561063776,6.7171890557405,460652
211,3,U,30,Q. Roo.,0.75,0.6235559312482389,0.5919977458438997,6.6782192166807555,460652
212,3,U,30,S.L.P,0.6098901098901098,0.3829631906554984,0.6040851052857455,5.179583412753924,460652
213,3,U,30,Sin.,0.8087879454465463,0.5597645236976166,0.7644000207829995,7.00300991814265,460652
214,3,U,30,Son.,0.8564194707611892,0.8590300023686684,0.6845606781812412,8.230919248881914,460652
215,3,U,30,Tab.,0.826837416481069,0.5380794701986754,0.8007623622724265,7.061192271263831,460652
216,3,U,30,Tamps.,0.8178097657352525,0.5720315063840372,0.6664381245379452,6.89224133755305,460652
217,3,U,30,Tlax.,1.0,0.6666666666666666,1.0,8.666666666666668,460652
218,3,U,30,Ver.,0.8644283476898982,0.5140955364134691,1.0,7.514095536413469,460652
219,3,U,30,Yuc.,0.8676994301994303,0.5998199846259021,0.6947087297613086,7.259495118823947,460652
220,3,U,30,Zac.,0.8715319662243668,0.5490968503845898,0.5481848184818482,6.778884903399524,460652
221,3,U,31,Ags.,0.6919220582671206,0.4342215569011607,0.5062034839234465,5.516981428520018,228660
222,3,U,31,B.C.,0.8262933406714364,0.7570998918682843,0.819131728211785,7.971836386582454,228660
223,3,U,31,B.C.S,0.7117952522255193,0.6873861799459758,0.5003440480337676,6.597413824753517,228660
224,3,U,31,Camp.,0.6271844660194175,0.6666666666666666,0.5377109736607898,6.250826478065916,228660
225,3,U,31,Coah.,0.4909361471861472,0.1991255774274642,0.8074074074074075,4.375061713269261,228660
226,3,U,31,Col.,0.6593610698365527,0.6359427014967441,0.6829956046977347,6.5472062947286584,228660
227,3,U,31,Chis.,0.8075221238938053,0.48383582385825935,0.8988129405292563,6.963057672066773,228660
228,3,U,31,Chih.,0.4681818181818182,0.5503307424384781,0.6082520446860186,5.290554331853222,228660
229,3,U,31,C.D.Mx,0.746924499477366,0.7029292153023117,0.7271793426923899,7.253773544503491,228660
230,3,U,31,Dgo.,0.6739401496259352,0.5996637848222862,0.6835816888172909,6.461579115427467,228660
231,3,U,31,Gto.,0.7132352941176471,0.6026611130394539,0.6364061684359927,6.53639796550039,228660
232,3,U,31,Gro.,0.6281779661016949,0.5021459227467812,0.5886981402002861,5.698691835794476,228660
233,3,U,31,Hgo.,0.25,0.0,0.3333333333333333,1.666666666666667,228660
234,3,U,31,Jal.,0.5716173361522199,0.25817218122513835,0.29876710361663283,3.916692276742699,228660
235,3,U,31,Edo. Méx.,0.5408505154639176,0.31272559595176985,0.5362036021642712,4.4867116499912925,228660
236,3,U,31,Mich.,0.6615636570777557,0.5872725290081368,0.780363446202118,6.556071636747807,228660
237,3,U,31,Mor.,0.6566765578635014,0.5478671197907069,0.5990783410138248,6.016331392644484,228660
238,3,U,31,Nay.,0.5962328767123287,0.5706436255863341,0.46624394646319267,5.599993902121037,228660
239,3,U,31,N.L.,0.6376775848460932,0.4686524417349336,0.5014751402592378,5.428270386842583,228660
240,3,U,31,Pue.,0.5,0.6666666666666666,1.0,6.666666666666668,228660
241,3,U,31,Qro.,0.6832990397805212,0.6443095306928784,0.6625528129864354,6.63553990786647,228660
242,3,U,31,Q. Roo.,0.6625802685347344,0.5605538781724685,0.7435825522463068,6.379701691321426,228660
243,3,U,31,S.L.P,0.9240045941807045,0.6666666666666666,0.7501461888340133,7.862977421057511,228660
244,3,U,31,Sin.,0.6425131348511384,0.4831235079172502,0.6952502390819254,5.893047049237405,228660
245,3,U,31,Son.,0.4174344436569809,0.6966702937205428,0.665060670949322,5.786540291408739,228660
246,3,U,31,Tamps.,0.8338771071234367,0.5935129901565274,0.6243429400036252,6.958246269127107,228660
247,3,U,31,Tlax.,0.75,1.0,0.7666666666666666,8.533333333333333,228660
248,3,U,31,Ver.,0.7202347483834692,0.520539983457079,0.8488223362195964,6.6607435998013855,228660
249,3,U,31,Yuc.,0.7330402010050251,0.4363213169978048,0.600009834364555,5.87746574074043,228660
250,3,U,31,Zac.,0.5,0.3333333333333333,0.3333333333333333,4.0,228660
251,3,U,32,Ags.,0.8852405721716515,0.5873417721518988,0.5872617823934593,7.06485294208112,359886
252,3,U,32,B.C.,0.9157247037374658,0.8034125881612192,0.5661385577700662,8.008826283134873,359886
253,3,U,32,B.C.S,0.75,0.3333333333333333,0.3333333333333333,5.0,359886
254,3,U,32,Camp.,1.0,0.6155913978494624,0.7174603174603175,7.897286226318485,359886
255,3,U,32,Coah.,1.0,0.6666666666666666,0.8888888888888888,8.444444444444446,359886
256,3,U,32,Col.,1.0,0.6666666666666666,0.8291139240506329,8.324894514767934,359886
