,ESTRATO,Grupo,ENT,acceso,uso,aptitudes,IDTMex,FAC_HOGAR
0,2,20,Ags.,0.5307600677258402,0.41639664098922163,0.4633421622885381,4.715311159437324,800380
1,2,21,Ags.,0.9731731402238315,0.5629709364908504,0.5341939610321423,7.2129642289230125,6503
2,2,22,Ags.,0.6346895487851909,0.6550433672346233,0.5795563183000557,6.318044300679368,8468
3,2,23,Ags.,0.5149647887323944,0.3933068241297439,0.456408345752608,4.545903142953769,5262
4,3,30,Ags.,0.9066008082622363,0.5689786512071672,0.7188855692371551,7.3400889763519235,7891
5,3,31,Ags.,0.6919220582671206,0.4342215569011607,0.5062034839234465,5.516981428520018,7515
6,3,32,Ags.,0.8852405721716515,0.5873417721518988,0.5872617823934593,7.06485294208112,3038
7,3,33,Ags.,0.7090026691556953,0.5274890520234009,0.6156729466865025,6.17731277808939,431025
8,3,34,Ags.,0.6003850385038504,0.665849480695037,0.5128216889903705,6.0905814547762915,5070
9,4,40,Ags.,0.8021472392638036,0.5524813470036958,0.7604870005278558,6.939488346125709,4617
10,4,41,Ags.,0.9115357395612173,0.6524509803921569,0.8692338547934216,7.994414589400341,5055
11,4,42,Ags.,0.8364366415595924,0.6292205844149236,0.7629004206959146,7.388429745289892,142616
12,4,43,Ags.,1.0,0.6666666666666666,0.8988098859543007,8.46428643857527,5851
13,4,44,Ags.,0.6870437956204379,0.6666666666666666,0.5825301223996648,6.579902093947748,2480
14,1,11,B.C.,0.3828288001213914,0.2825724725003113,0.4239084710008691,3.5094220324885494,202619
15,2,20,B.C.,0.6270386299933377,0.5967130700793563,0.4852033060590684,5.865413412408913,1815273
16,2,21,B.C.,0.9327606635071091,0.7796439176584918,0.6026990380467828,8.055016400755969,18045
17,2,22,B.C.,0.6019097222222223,0.8120003334719191,0.49225810165198874,6.6401564260805435,8730
18,2,23,B.C.,0.5825043885313049,0.4670433131276681,0.2863063520257126,4.770803510687317,5617
19,3,30,B.C.,0.9118729552889858,0.7238271426212304,0.7006642630326795,7.944128917706226,28553
20,3,31,B.C.,0.8262933406714364,0.7570998918682843,0.819131728211785,7.971836386582454,14513
21,3,32,B.C.,0.9157247037374658,0.8034125881612192,0.5661385577700662,8.008826283134873,18444
22,3,33,B.C.,0.7652447124498112,0.7124988320913821,0.5985585006017111,7.108091179368197,1071513
23,3,34,B.C.,0.75,0.8259056554599948,0.8654675502261492,8.034557722292279,4448
24,4,40,B.C.,0.9644921552436003,0.7885450747184065,0.9000926440615157,8.812334207971059,14215
25,4,41,B.C.,1.0,1.0,0.7333333333333334,9.466666666666669,4020
26,4,42,B.C.,0.8246441384099062,0.7747503750613003,0.7167561511773162,7.83109035623946,568487
27,4,43,B.C.,1.0,0.8167469234884965,0.8246058558558559,8.916199405665699,2368
28,4,44,B.C.,0.75,0.8358413132694938,0.704117932369384,7.751601117816744,7310
29,1,11,B.C.S,0.4331439861694245,0.4320499521212578,0.43086697235230775,4.3225096978673445,142486
30,2,20,B.C.S,0.5729356972505962,0.5283662267264968,0.5241709467422838,5.4535495893929395,367529
31,2,21,B.C.S,0.95774231678487,0.7167060677698975,0.7380880232275757,8.173969584674222,3939
32,2,22,B.C.S,0.6586206896551724,0.6723258862101827,0.5163687478148081,6.356523799091037,5002
33,2,23,B.C.S,0.5113304093567251,0.5307235751069216,0.4930769062387443,5.154369750332075,2412
34,3,30,B.C.S,0.8533145275035261,0.641861564124692,0.6936998126934514,7.368103991899774,6112
35,3,31,B.C.S,0.7117952522255193,0.6873861799459758,0.5003440480337676,6.597413824753517,2015
36,3,32,B.C.S,0.75,0.3333333333333333,0.3333333333333333,5.0,105
37,3,33,B.C.S,0.7067594708136793,0.6242627284095648,0.6281194863089357,6.5803277695108475,162685
38,3,34,B.C.S,0.6147058823529412,0.6683826173403556,0.6224691395815934,6.377292277936374,1970
39,4,40,B.C.S,0.9427127211457456,0.776748104465038,0.7989945024539183,8.475832307350972,3638
40,4,41,B.C.S,0.6611675126903553,0.6616085730400451,0.7838827838827839,6.85886991068717,1500
41,4,42,B.C.S,0.8238203630533127,0.7225402996949827,0.7625535721573167,7.710549795307816,111206
42,4,43,B.C.S,0.75,0.6666666666666666,1.0,7.666666666666666,102
43,4,44,B.C.S,0.75,0.6666666666666666,1.0,7.666666666666666,417
44,1,11,Camp.,0.34052583573731543,0.23846022643166834,0.4181400517952412,3.1522243522664177,370557
45,2,20,Camp.,0.6075114135584461,0.47788109839586324,0.5549560528944083,5.4514821536060545,417498
46,2,21,Camp.,0.9699727024567789,0.6404675534058847,0.8248904279166248,8.091541879283904,3794
47,2,22,Camp.,0.6313653136531365,0.5774757281553398,0.557502663353684,5.950369493941273,5498
48,2,23,Camp.,0.4207657909446618,0.3661751310656649,0.5587690354957838,4.265301759032875,6734
49,3,30,Camp.,0.7558479532163742,0.5867446393762182,0.9091915836101881,7.188753537590746,1167
50,3,31,Camp.,0.6271844660194175,0.6666666666666666,0.5377109736607898,6.250826478065916,2142
51,3,32,Camp.,1.0,0.6155913978494624,0.7174603174603175,7.897286226318485,1001
52,3,33,Camp.,0.7666658753145624,0.5558070323452383,0.7212925668762171,6.732476764391637,68016
53,3,34,Camp.,0.75,0.6666666666666666,0.9046087888531619,7.47588424437299,1197
54,4,40,Camp.,0.7351129363449691,0.40474560803102894,0.6988364134154689,5.95710700433493,1461
55,4,41,Camp.,1.0,0.6666666666666666,1.0,8.666666666666668,624
56,4,42,Camp.,0.793263072085711,0.5937054756727154,0.7260802005404522,7.00003459211461,54257
57,4,43,Camp.,1.0,0.6666666666666666,0.3333333333333333,7.333333333333334,145
58,4,44,Camp.,0.5,0.6666666666666666,0.75,6.166666666666667,464
59,1,11,Coah.,0.23968493682110395,0.14171547195309905,0.3619655986827343,2.2495328324622808,133295
60,2,20,Coah.,0.5307522604791541,0.43297671873894944,0.463875247663536,4.782666412199487,1487876
61,2,21,Coah.,0.8362809499747347,0.5299299751524734,0.38391207081023243,6.232667842129297,6387
62,2,22,Coah.,0.6347793380140421,0.5645786163522013,0.4732491879605774,5.743930193386129,7544
63,2,23,Coah.,0.5471659364731654,0.29189678226680726,0.460915936427025,4.27808274781394,14452
64,3,30,Coah.,0.7713166385005378,0.6430757189462246,0.5720896962810235,6.801748822349097,22149
65,3,31,Coah.,0.4909361471861472,0.1991255774274642,0.8074074074074075,4.375061713269261,2385
66,3,32,Coah.,1.0,0.6666666666666666,0.8888888888888888,8.444444444444446,2148
67,3,33,Coah.,0.688856398578477,0.561630757944083,0.5977903498257385,6.197529325741717,1170450
68,3,34,Coah.,0.75,0.6666666666666666,0.9219638242894056,7.510594315245478,3269
69,4,40,Coah.,1.0,0.6011919143110253,0.8352082699908787,8.075184197225859,4139
70,4,41,Coah.,1.0,1.0,0.8333333333333334,9.666666666666668,1100
71,4,42,Coah.,0.8599918765231519,0.7095969394710903,0.7789359344738184,7.836227132924606,309488
72,4,43,Coah.,0.9518365817091454,0.6666666666666666,0.7669961459996038,8.008005285502456,9157
73,1,11,Col.,0.4215472027972028,0.36057957401627916,0.41770999324386254,3.9639270937416535,22732
74,2,20,Col.,0.5572230807740026,0.48285707867686556,0.49760131887007814,5.155523275543629,457602
75,2,21,Col.,0.8920454545454546,0.7398818616253485,0.46007228587015825,7.447853836423529,2312
76,2,22,Col.,0.6068991660348749,0.6675393768831043,0.4690728309950008,6.03589983366192,4209
77,2,23,Col.,0.48816460305899484,0.5461733821192493,0.50643984511784,5.150231630948657,4573
78,3,30,Col.,0.7767175572519085,0.7863522810922348,0.7601176917236142,7.772514736823801,1436
79,3,31,Col.,0.6593610698365527,0.6359427014967441,0.6829956046977347,6.5472062947286584,1804
80,3,32,Col.,1.0,0.6666666666666666,0.8291139240506329,8.324894514767934,956
81,3,33,Col.,0.7200746729549155,0.6193162371507964,0.669136146677809,6.695835933778466,105393
82,3,34,Col.,0.5791044776119403,0.6216420734014377,0.4249891915261565,5.652964587105825,881
83,4,40,Col.,1.0,0.7289919485681836,0.9194086978728557,8.754785190018445,5600
84,4,41,Col.,0.7414089347079038,0.7262080969927821,0.902,7.6744681268027435,1328
85,4,42,Col.,0.7936404576436222,0.6825634244931873,0.7688153529998175,7.442446234546873,124218
86,4,43,Col.,1.0,1.0,1.0,10.0,564
87,4,44,Col.,0.872791519434629,0.8362779740871614,0.8652773207822492,8.566832615651661,1276
88,1,11,Chis.,0.2451144246822206,0.11801182079221907,0.34179587245731735,2.1360967268123936,3573019
89,2,20,Chis.,0.5007628544744804,0.3563591872907594,0.5439695498985905,4.516427266858141,1707000
90,2,21,Chis.,0.8310904872389792,0.5555555555555555,0.6226831677415606,6.79195050666126,6465
91,2,22,Chis.,0.6466836734693877,0.6177800100452034,0.7395050257591947,6.536864785576755,10744
92,2,23,Chis.,0.37272021730694604,0.17826730429021867,0.4289609053497942,3.0618718970882473,9758
93,3,30,Chis.,0.75,0.3333333333333333,1.0,6.333333333333333,785
94,3,31,Chis.,0.8075221238938053,0.48383582385825935,0.8988129405292563,6.963057672066773,9861
95,3,33,Chis.,0.7398615365325022,0.5382339531971742,0.7532517991738626,6.618885557266432,198933
96,4,41,Chis.,0.75,0.6666666666666666,1.0,7.666666666666666,2708
97,4,42,Chis.,0.745002467917078,0.5613757993824839,0.8112552090284885,6.848023487255225,65779
98,4,43,Chis.,1.0,0.6666666666666666,1.0,8.666666666666668,2724
99,1,11,Chih.,0.2968808476796407,0.18935216528785428,0.3799943264869063,2.7049207048437927,309920
100,2,20,Chih.,0.5647212869435092,0.5045005553506231,0.4598865231283318,5.196660415433193,1666593
101,2,22,Chih.,0.75,1.0,0.4166666666666667,7.833333333333334,3130
102,3,30,Chih.,0.6968181818181818,0.5429627761666597,0.706195099398983,6.371514030737332,4326
103,3,31,Chih.,0.4681818181818182,0.5503307424384781,0.6082520446860186,5.290554331853222,3193
104,3,32,Chih.,0.8822412155745489,0.7188175526724364,0.8973084886128365,8.198852050213617,2663
105,3,33,Chih.,0.6914249812961633,0.5894573016458432,0.5861627367449106,6.295854605257847,1273714
106,3,34,Chih.,0.75,1.0,1.0,9.000000000000002,2100
107,4,40,Chih.,1.0,0.8333333333333334,0.8333333333333334,9.000000000000002,3648
108,4,41,Chih.,0.75,1.0,1.0,9.000000000000002,1647
109,4,42,Chih.,0.8348100911263818,0.6906499166560963,0.7828354906559793,7.667511012441871,492650
110,4,43,Chih.,0.5,0.3333333333333333,0.3333333333333333,4.0,840
111,1,11,C.D.Mx,0.5,0.5027777777777778,0.45098039215686275,4.913071895424837,20200
112,2,20,C.D.Mx,0.7066630642003533,0.676406819798666,0.5718969720146502,6.676073480025377,3758485
113,2,21,C.D.Mx,0.907250967969025,0.7292124207727978,0.589067126253922,7.723987807475136,53999
114,2,22,C.D.Mx,0.5903077753779697,0.6959179596449481,0.7008619096409999,6.546626759373671,18282
115,2,23,C.D.Mx,0.5,0.3333333333333333,0.6666666666666666,4.666666666666667,1816
116,3,30,C.D.Mx,0.9036226983492668,0.804110389235282,0.7363065405126749,8.303545431363546,96985
117,3,31,C.D.Mx,0.746924499477366,0.7029292153023117,0.7271793426923899,7.253773544503491,32431
118,3,32,C.D.Mx,0.9540803882832126,0.8762480902946037,0.7377089915922649,8.796731897495796,122641
119,3,33,C.D.Mx,0.7803772149310612,0.7411652399548146,0.6809155790938256,7.448000977731155,3712899
120,3,34,C.D.Mx,0.6765571358509073,1.0,0.9424093837131045,8.591047310829838,10401
121,4,40,C.D.Mx,0.9618222253600678,0.9298305886374226,0.794166516525534,9.15494428904103,37424
122,4,41,C.D.Mx,0.627094972067039,0.7574795188231755,0.683246896479174,6.904791756519206,19954
123,4,42,C.D.Mx,0.8949543597378877,0.8206379376358903,0.812897634900159,8.488164459295431,1297076
124,4,43,C.D.Mx,1.0,0.9353808296476499,0.8316640102079695,9.40485133900654,46448
125,4,44,C.D.Mx,0.75,0.8888888888888888,0.6666666666666666,7.888888888888889,11826
126,1,11,Dgo.,0.33986483505169807,0.20857734957303098,0.4130675188627333,3.0199037762243828,255648
127,2,20,Dgo.,0.5010285676074233,0.39747074524652093,0.4768955183762262,4.547788288168229,1071154
128,2,21,Dgo.,1.0,0.6666666666666666,0.5,7.666666666666667,1060
129,2,22,Dgo.,0.746268656716418,0.4031600790019751,0.5698924731182796,5.737499889110131,2210
130,2,23,Dgo.,0.25,0.2222222222222222,0.5,2.8888888888888884,952
131,3,31,Dgo.,0.6739401496259352,0.5996637848222862,0.6835816888172909,6.461579115427467,2776
132,3,33,Dgo.,0.706693261106368,0.5411477252982103,0.6427103496919047,6.276784645002122,361953
133,3,34,Dgo.,0.5,0.6666666666666666,0.5833333333333334,5.833333333333334,812
134,4,40,Dgo.,0.8445094509450946,0.6666666666666666,0.8825201767269361,7.8097448239009175,4173
135,4,41,Dgo.,0.6101543942992874,0.5197941409342834,0.43528441879637264,5.390362978527029,1213
136,4,42,Dgo.,0.7774092510176964,0.5979537650162161,0.7871320976219032,7.0757162593794565,147015
137,1,11,Gto.,0.4097571736714818,0.3263326761030046,0.3674757319272337,3.6793108629524127,979774
138,2,20,Gto.,0.4830032818169045,0.3863039767019259,0.4322137514350122,4.341656536945346,3587269
139,2,21,Gto.,0.8889819857561794,0.6034548323921435,0.5968448715589423,7.163437015711176,37291
140,2,22,Gto.,0.6986235861610113,0.7726029226578474,0.45145531458883675,6.787816664453108,47536
141,2,23,Gto.,0.42892182719696165,0.3858386154151341,0.35322292201228517,3.9654876144729534,31407
142,3,30,Gto.,0.8135680461190036,0.6951507074779301,0.7817412450158715,7.598357504419479,25184
143,3,31,Gto.,0.7132352941176471,0.6026611130394539,0.6364061684359927,6.53639796550039,14405
144,3,32,Gto.,0.9644709543568465,0.742460529732425,0.6613046370835164,8.15033521052412,19212
145,3,33,Gto.,0.6875948185319174,0.5971105766487504,0.5872208683341315,6.313263317390934,1004770
146,3,34,Gto.,0.6467120398773006,0.7671070628160049,0.4614579552129743,6.578192321199171,22319
147,4,40,Gto.,0.91994546162836,0.7447560964725541,0.8488023609796049,8.356410954362868,20660
148,4,41,Gto.,0.75,0.6666666666666666,1.0,7.666666666666666,5190
149,4,42,Gto.,0.8177981731525252,0.7242793342656068,0.7598450923963332,7.688000214465195,361386
150,4,43,Gto.,1.0,0.8976862688828064,0.7480069546966862,9.086758984924598,28014
151,4,44,Gto.,0.6594239094239094,0.7035035986667554,0.683325743296357,6.818361518955374,15904
152,1,11,Gro.,0.37497659475057443,0.27907585702423493,0.39270562373674706,3.401621054572732,2193099
153,2,20,Gro.,0.5781371350774325,0.48688467761704524,0.5468725028995696,5.35383225657705,1156151
154,2,21,Gro.,0.9050599895670319,0.46492783863675885,0.5923617620802774,6.664674836975718,7881
155,2,22,Gro.,0.5729587712206952,0.7134319677827841,0.6454183846276593,6.436399725269236,9908
156,2,23,Gro.,0.5,0.3521797752808989,0.5823451910408433,4.573409483205283,4005
157,3,30,Gro.,0.25,0.0,0.3333333333333333,1.666666666666667,908
158,3,31,Gro.,0.6281779661016949,0.5021459227467812,0.5886981402002861,5.698691835794476,2330
159,3,33,Gro.,0.779139758856247,0.7429140787785768,0.7226589242711648,7.533533199081627,178929
160,4,42,Gro.,0.9375,0.6666666666666666,1.0,8.416666666666666,6006
161,1,11,Hgo.,0.32246998090722356,0.22342110804135298,0.38617101548948457,2.9559063867732753,851740
162,2,20,Hgo.,0.5139272902510363,0.40296261708889514,0.49974243950019365,4.667044508360114,1957734
163,2,21,Hgo.,0.8308797445902802,0.6028916090118858,0.3927795104432474,6.52064443529516,7920
164,2,22,Hgo.,0.5534731046166879,0.48941104900954335,0.3072430465795395,4.786022707664004,9272
165,2,23,Hgo.,0.48606741573033707,0.4502591855873937,0.631137142401785,5.0075806900744935,7093
166,3,31,Hgo.,0.25,0.0,0.3333333333333333,1.666666666666667,409
167,3,32,Hgo.,0.8672332942555686,0.6174007612833061,0.5945727396300776,7.127681701415654,3865
168,3,33,Hgo.,0.7292091928628035,0.5521644017809361,0.6498831322186698,6.425260643012298,136922
169,4,42,Hgo.,0.8247510229290513,0.6140701343089042,0.7398016968317912,7.234888022615404,120611
170,1,11,Jal.,0.31408876673620545,0.23808925051555432,0.35886379794079654,2.926439664888632,345369
171,2,20,Jal.,0.5478957741074698,0.4688684394256622,0.460987877518583,4.989032609169694,4312112
172,2,21,Jal.,0.9046175673932672,0.8214551185349862,0.4846063373460634,7.87350341840514,29526
173,2,22,Jal.,0.6340079869304774,0.7200650428444995,0.7077462380446292,6.831784595189166,30074
174,2,23,Jal.,0.5817261330761814,0.6126700109630693,0.4290388064408049,5.635662189038612,19678
175,3,30,Jal.,0.8006709786616696,0.7146371269747878,0.5599214449870652,7.181075312519961,67654
176,3,31,Jal.,0.5716173361522199,0.25817218122513835,0.29876710361663283,3.916692276742699,16249
177,3,32,Jal.,0.8616140713916193,0.687477366421266,0.6212677461024992,7.43890124345654,57157
178,3,33,Jal.,0.674251335805027,0.5722573300435746,0.5894263988533708,6.164887461101149,2565135
179,3,34,Jal.,0.5964356002624098,0.6579545178126528,0.4829537624335478,5.983467997167347,43508
180,4,40,Jal.,1.0,0.9325165900969883,0.9302641323130091,9.590594625013972,19717
181,4,41,Jal.,0.682238453094655,0.8869788971860589,0.8293713855865912,7.935612172296038,24903
182,4,42,Jal.,0.853266030877382,0.7344255158513953,0.777526772174047,7.905819731263203,810102
183,4,43,Jal.,0.9730393731132378,0.8331474029943976,0.8727049405881577,8.970156985606858,47134
184,1,11,Edo. Méx.,0.3487981947065296,0.258228025833219,0.3848558377649382,3.197816557688871,2429056
185,2,20,Edo. Méx.,0.6186777764145662,0.5388460466444146,0.5120382635065152,5.654171819248955,9914146
186,2,21,Edo. Méx.,0.9407302969731581,0.6741393850115429,0.581098031337676,7.621674790614157,104783
187,2,22,Edo. Méx.,0.6670202288052125,0.6149305156770414,0.5175511475174877,6.162905272963991,43535
188,2,23,Edo. Méx.,0.5,0.3333333333333333,0.6666666666666666,4.666666666666667,9540
189,3,30,Edo. Méx.,0.9222178960781537,0.555359233000082,0.694582253486363,7.299473023285669,49644
190,3,31,Edo. Méx.,0.5408505154639176,0.31272559595176985,0.5362036021642712,4.4867116499912925,19613
191,3,32,Edo. Méx.,1.0,0.6266630667926623,0.7129166978144509,7.932485662799551,22223
192,3,33,Edo. Méx.,0.7754690879089284,0.6231383928234048,0.6333006253129928,6.86103117355532,2477544
193,4,40,Edo. Méx.,0.75,0.7283333209458683,0.5893572953930396,7.092047874569554,33431
194,4,42,Edo. Méx.,0.8641626636309958,0.7037894449246536,0.7783383368865574,7.8284851079957125,1902389
195,4,43,Edo. Méx.,0.9576963208274736,0.7604924298968211,0.8992483084536028,8.671251619804385,77211
196,1,11,Mich.,0.2796988027468592,0.12987041891128465,0.35938394046110017,2.357044767554776,1095170
197,2,20,Mich.,0.5040552397406717,0.3870991665284154,0.4633084890023366,4.491234603081022,2876654
198,2,21,Mich.,0.8810103963612735,0.610729427784483,0.6707991164560925,7.3085575294952125,21542
199,2,22,Mich.,0.5794668850072779,0.5681848553813862,0.5613937287468924,5.713394419048441,23275
200,2,23,Mich.,0.48043665073312214,0.36629039815893627,0.5054965208406714,4.3979012372495765,61471
201,3,30,Mich.,0.8965583913379738,0.6304751034384363,0.8193222459104353,7.746778470926512,7009
202,3,31,Mich.,0.6615636570777557,0.5872725290081368,0.780363446202118,6.556071636747807,11240
203,3,32,Mich.,0.8752676659528908,0.6001712328767123,0.533675799086758,6.9691071934919275,3504
204,3,33,Mich.,0.6697017820541704,0.5195331902718047,0.621502683226637,5.999945255757176,588815
205,3,34,Mich.,0.5799039780521262,0.5807035403234928,0.5535561442648192,5.749542362032114,8020
206,4,40,Mich.,0.905811623246493,0.7148849138606431,0.7458100558659218,7.974406260160389,6480
207,4,41,Mich.,0.75,0.4519161243673174,0.3046757164404223,5.417015930350114,5532
208,4,42,Mich.,0.7831027389540126,0.6590524021523466,0.8111242093083795,7.390868983042196,93008
209,1,11,Mor.,0.46070896829567354,0.33338157381164235,0.43267472853503125,4.041711625499326,263013
